millis,latitude,longitude,altitude,speed,heading
6000,31.28413959,-91.62045406,23.4494011,-0.1,319.7
6100,31.2841394,-91.62045407,23.6494011,-0.1,319.8
6200,31.28413929,-91.6204541,23.8494011,-0.1,319.8
6300,31.28413912,-91.62045389,24.0494011,-0.1,319.8
6400,31.28413902,-91.62045406,24.3494011,0,319.8
6500,31.28413894,-91.62045425,24.6494011,0,319.7
6600,31.28413884,-91.62045443,25.0494011,0,319.7
6700,31.28413858,-91.62045485,25.4494011,0,319.8
6800,31.28413853,-91.62045503,25.9494011,0,319.8
6900,31.28413848,-91.6204552,26.4494011,0,319.8
7000,31.28413842,-91.62045538,26.9494011,0,319.8
7100,31.28413829,-91.62045582,27.4494011,0,319.9
7200,31.28413829,-91.62045603,27.9494011,0,319.9
7300,31.28413831,-91.62045622,28.4494011,0,319.7
7400,31.28413841,-91.62045637,28.9494011,0,319.6
7500,31.28413875,-91.62045684,29.4494011,0,319.7
7600,31.28413886,-91.62045695,30.0494011,0,319.8
7700,31.28413897,-91.62045704,30.5494011,0,319.9
7800,31.28413915,-91.62045712,31.1494011,0.1,320.1
7900,31.28413935,-91.62045718,31.6494011,0.1,321
8000,31.28413978,-91.62045728,32.2494011,0.2,322.2
8100,31.28414003,-91.62045727,32.7494011,0.2,323.1
8200,31.2841403,-91.62045728,33.3494011,0.2,323.4
8300,31.28414054,-91.62045728,33.8494011,0.1,323.4
8400,31.28414114,-91.62045755,34.4494011,0.1,323.3
8500,31.28414125,-91.62045762,34.9494011,0,323.3
8600,31.28414125,-91.62045771,35.4494011,0,323.1
8700,31.2841412,-91.62045783,35.9494011,0,323
8800,31.28414112,-91.62045775,36.5494011,0,322.9
8900,31.28414104,-91.62045779,37.0494011,0,322.8
9000,31.28414094,-91.62045776,37.5494011,0,322.8
9100,31.28414082,-91.62045772,38.0494011,0,322.7
9200,31.28414074,-91.62045732,38.5494011,0,322.7
9300,31.28414063,-91.62045724,39.0494011,-0.1,322.7
9400,31.28414049,-91.62045707,39.5494011,-0.1,322.7
9500,31.28414033,-91.62045691,40.0494011,-0.1,322.7
9600,31.28414022,-91.6204568,40.5494011,-0.1,322.7
9700,31.28414014,-91.62045633,40.9494011,-0.1,322.7
9800,31.28414002,-91.62045629,41.4494011,-0.1,322.8
9900,31.2841399,-91.62045627,41.9494011,-0.1,322.8
10000,31.2841397,-91.62045617,42.4494011,-0.1,322.8
10100,31.28413938,-91.62045584,42.8494011,-0.1,322.7
10200,31.28413922,-91.62045581,43.3494011,-0.1,322.5
10300,31.28413906,-91.6204558,43.8494011,-0.1,322.3
10400,31.28413894,-91.62045581,44.3494011,-0.1,322.2
10500,31.28413881,-91.62045584,44.7494011,-0.1,321.4
10600,31.28413867,-91.62045584,45.1494011,-0.1,319.9
10700,31.28413854,-91.62045584,45.6494011,-0.1,318.1
10800,31.28413839,-91.62045586,46.1494011,0,316.4
10900,31.2841381,-91.62045589,46.5494011,0,314.9
11000,31.28413801,-91.62045591,47.0494011,0,313.4
11100,31.28413794,-91.62045594,47.4494011,0,312.1
